'=$CALCULOS.C11'	'=ENTERO(A1*20)/20'	'=A1-B1+0,0001'	'=BUSCARV(A1;TA2T01_strappings;2)'	'=BUSCARV(C1;TA2T01_fractions;2)'	'=D1+E1'		0,070	'=BUSCARV(H1;TA2T01_strappings;2)'	'=H1+0,05'	'=BUSCARV(J1;TA2T01_strappings;2)'	'=K1-I1'	'=H1*20-ENTERO(H1*20)'	'=REDONDEAR(I1+L1*M1;0)'	'=SI(H1*20-ENTERO(H1*20)=0;I1;N1)'
'=$CALCULOS.C12'	'=ENTERO(A2*20)/20'	'=A2-B2+0,0001'	'=BUSCARV(A2;TA2T01_strappings;2)'	'=BUSCARV(C2;TA2T01_fractions;2)'	'=D2+E2'		0,050	'=BUSCARV(H2;TA2T01_strappings;2)'	'=H2+0,05'	'=BUSCARV(J2;TA2T01_strappings;2)'	'=K2-I2'	'=H2*20-ENTERO(H2*20)'	'=REDONDEAR(I2+L2*M2;0)'	'=SI(H2*20-ENTERO(H2*20)=0;I2;N2)'
2,25	' 64.912 '	'=B100-B99'	'=C99-C100'											
2,30	' 66.500 '	'=B101-B100'	'=C100-C101'											
2,35	' 68.089 '	'=B102-B101'	'=C101-C102'											
2,40	' 69.677 '	'=B103-B102'	'=C102-C103'											
2,45	' 71.266 '	'=B104-B103'	'=C103-C104'											
2,50	' 72.854 '	'=B105-B104'	'=C104-C105'											
2,55	' 74.443 '	'=B106-B105'	'=C105-C106'											
2,60	' 76.031 '	'=B107-B106'	'=C106-C107'											
2,65	' 77.620 '	'=B108-B107'	'=C107-C108'											
2,70	' 79.208 '	'=B109-B108'	'=C108-C109'											
2,75	' 80.797 '	'=B110-B109'	'=C109-C110'											
2,80	' 82.385 '	'=B111-B110'	'=C110-C111'											
2,85	' 83.974 '	'=B112-B111'	'=C111-C112'											
2,90	' 85.562 '	'=B113-B112'	'=C112-C113'											
2,95	' 87.151 '	'=B114-B113'	'=C113-C114'											
3,00	' 88.739 '	'=B115-B114'	'=C114-C115'											
3,05	' 90.328 '	'=B116-B115'	'=C115-C116'											
3,10	' 91.916 '	'=B117-B116'	'=C116-C117'											
3,15	' 93.505 '	'=B118-B117'	'=C117-C118'											
3,20	' 95.093 '	'=B119-B118'	'=C118-C119'											
3,25	' 96.682 '	'=B120-B119'	'=C119-C120'											
3,30	' 98.270 '	'=B121-B120'	'=C120-C121'											
3,35	' 99.859 '	'=B122-B121'	'=C121-C122'											
3,40	' 101.447 '	'=B123-B122'	'=C122-C123'											
